id_do_caso,num_de_empregados,salario_prevalecente_semanal,tem_experiencia_de_trabalho_S,requer_treinamento_de_trabalho_S,posicao_em_tempo_integral_S,continente_América do Norte,continente_América do Sul,continente_Europa,continente_Oceania,continente_África,continente_Ásia,educacao_do_empregado_Doutorado,educacao_do_empregado_Ensino Médio,educacao_do_empregado_Ensino Superior,educacao_do_empregado_Mestrado,regiao_de_emprego_Ilha,regiao_de_emprego_Meio-Oeste,regiao_de_emprego_Nordeste,regiao_de_emprego_Oeste,regiao_de_emprego_Sul,status_do_caso_Aprovado,anos_estabelecimento
EZYV10567,2087,1452.32,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,168
EZYV5505,5991,1102.74,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,20
EZYV5207,1426,2308.96,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,23
EZYV7545,3846,91884.68,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,31
EZYV16071,3957,2878.23,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,74
EZYV3753,2374,2700.67,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,25
EZYV18223,496,2322.74,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,25
EZYV16032,631,52518.9,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24
EZYV19836,5795,2844.2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,23
EZYV4565,70,1438.07,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,13
EZYV8233,99,887.38,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,27
EZYV3843,25914,77397.33,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19
EZYV16208,3630,1013.69,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,27
EZYV739,1222,81738.92,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26
EZYV5230,4473,3406.66,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,40
EZYV20887,549,1959.67,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,26
EZYV20395,1040,1024.33,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,20
EZYV11700,3060,70.85,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,20
EZYV16472,3710,546.28,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,18
EZYV11623,451,6350.49,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,23
EZYV12329,4160,3478.62,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,55
EZYV23445,3829,628.54,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,25
EZYV874,6289,265.83,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,19
EZYV7705,2236,638.27,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,58
EZYV19387,1905,1213.48,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,37
EZYV12675,2695,268.62,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,35
EZYV1580,2504,4281.44,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,23
EZYV19787,3229,1430.15,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,25
EZYV10282,1086,13761.22,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,12
EZYV12962,4433,2234.75,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,77
EZYV596,908,606.25,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,26
EZYV11763,3077,214.43,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,16
EZYV13285,2075,933.68,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,18
EZYV23822,3475,734.78,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,37
EZYV16769,1946,1889.31,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,154
EZYV7173,2324,1949.17,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,86
EZYV7641,3376,1208.86,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,23
EZYV13128,4231,91743.07,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,129
EZYV16047,4976,3055.32,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,23
EZYV18153,1190,1781.04,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,10
EZYV10645,1711,1203.03,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,48
EZYV4570,2733,2490.2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,22
EZYV1813,239,940.41,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,22
EZYV19056,505,2696.31,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,20
EZYV4891,4989,898.87,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,19
EZYV9245,2240,300.82,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,22
EZYV16245,2053,310.53,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,29
EZYV25303,1967,859.1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19
EZYV20087,3578,5037.73,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,109
EZYV67,80,1715.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,55
EZYV5462,280,1603.47,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,27
EZYV20664,88622,226.44,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,11
EZYV20602,3922,12.82,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,22
EZYV11726,4114,2566.17,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,46
EZYV8714,1652,3325.91,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,36
EZYV7331,2052,2090.54,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,16
EZYV13703,117375,85.89,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,42
EZYV8412,2410,1052.27,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,15
EZYV74,452,2552.93,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,133
EZYV1872,183,1439.09,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,48
EZYV14444,14063,3930.24,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,17
EZYV7348,80,1506.49,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,92
EZYV12705,595,2556.2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,54
EZYV7482,1221,653.64,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,43
EZYV24234,1125,205.37,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,43
EZYV13592,234,669.57,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,69
EZYV5277,5223,730.89,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,51
EZYV23686,5476,729.9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,39
EZYV22446,631,1930.05,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,11
EZYV25182,5596,68.47,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,23
EZYV24553,1277,1632.9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,16
EZYV83,39,1474.56,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,23
EZYV11624,2774,125.04,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,17
EZYV8285,104,1066.97,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,151
EZYV16350,3359,474.46,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,55
EZYV10721,2989,1934.58,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,69
EZYV15285,3081,2244.29,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,23
EZYV17437,1065,753.81,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,12
EZYV16714,9245,869.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,63
EZYV18087,1022,2245.06,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,61
EZYV4383,5253,263.53,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,35
EZYV12617,2609,769.59,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,34
EZYV12543,1795,2964.86,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,190
EZYV7058,2813,1222.03,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,40
EZYV5178,3520,15202.56,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30
EZYV17007,-11,536.53,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,39
EZYV801,69947,2650.89,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,28
EZYV827,1224,475.32,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,143
EZYV20728,4612,410.92,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,14
EZYV22134,105,1362.17,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,26
EZYV21790,4655,2231.77,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,89
EZYV4751,1072,981.45,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,49
EZYV1053,5838,2387.35,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,113
EZYV9753,5958,8.06,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,13
EZYV15022,3248,2349.8,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,29
EZYV14339,2926,28726.5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,30
EZYV4472,2347,1989.51,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24
EZYV1901,365,1840.22,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,18
EZYV5971,4755,2717.58,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,90
EZYV20931,2373,670.79,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,31
EZYV1601,3065,3635.32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,50
EZYV6642,1434,1601.63,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,44
EZYV22997,5147,1268.56,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,32
EZYV5994,3143,561.39,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,22
EZYV17699,3134,64669.67,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,78
EZYV18704,1596,955.15,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,84
EZYV9346,377,2825.73,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,16
EZYV24440,1177,1702.25,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,26
EZYV21731,1176,795.07,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,25
EZYV6251,137,28922.7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,38
EZYV1213,31859,89566.12,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,59
EZYV9329,3338,2241.84,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,20
EZYV14949,2635,217.84,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,35
EZYV85,1023,3625.3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,21
EZYV17368,4750,4622.93,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,18
EZYV814,5664,724.38,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,24
EZYV736,1838,2335.48,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,33
